Sample Index,Condition,Question,Similarity
0,all_4.jsonl,Text_SubjectiveLit,0.8502174
0,all_4.jsonl,Text_Anxiety,0.8123188
0,all_4.jsonl,Text_Numeracy,0.7847421
0,all_4.jsonl,Text_TrustPhys,0.8581435
0,conditioning_on_all.jsonl,Text_SubjectiveLit,0.8157505
0,conditioning_on_all.jsonl,Text_Anxiety,0.83889645
0,conditioning_on_all.jsonl,Text_Numeracy,0.81140375
0,conditioning_on_all.jsonl,Text_TrustPhys,0.86362153
0,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.8218956
0,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.8072506
0,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.7320493
0,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.8060416
0,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.81976664
0,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.7995756
0,holdout_Text_Numeracy.jsonl,Text_Numeracy,0.7191295
0,holdout_Text_Numeracy.jsonl,Text_TrustPhys,0.8465229
0,holdout_Text_SubjectiveLit.jsonl,Text_SubjectiveLit,0.77507657
0,holdout_Text_SubjectiveLit.jsonl,Text_Anxiety,0.7874111
0,holdout_Text_SubjectiveLit.jsonl,Text_Numeracy,0.75307584
0,holdout_Text_SubjectiveLit.jsonl,Text_TrustPhys,0.85122585
0,holdout_Text_TrustPhys.jsonl,Text_SubjectiveLit,0.81114066
0,holdout_Text_TrustPhys.jsonl,Text_Anxiety,0.8155048
0,holdout_Text_TrustPhys.jsonl,Text_Numeracy,0.72833604
0,holdout_Text_TrustPhys.jsonl,Text_TrustPhys,0.77648735
0,Baseline No System Prompt,Text_SubjectiveLit,0.7714863
0,Baseline No System Prompt,Text_Anxiety,0.76115274
0,Baseline No System Prompt,Text_Numeracy,0.5898638
0,Baseline No System Prompt,Text_TrustPhys,0.7747391
0,Baseline Zero-Shot,Text_SubjectiveLit,0.8053629
0,Baseline Zero-Shot,Text_Anxiety,0.76668394
0,Baseline Zero-Shot,Text_Numeracy,0.6619484
0,Baseline Zero-Shot,Text_TrustPhys,0.8164438
1,all_4.jsonl,Text_SubjectiveLit,0.86487556
1,all_4.jsonl,Text_Anxiety,0.7420786
1,all_4.jsonl,Text_Numeracy,0.85436505
1,all_4.jsonl,Text_TrustPhys,0.8859687
1,conditioning_on_all.jsonl,Text_SubjectiveLit,0.8761478
1,conditioning_on_all.jsonl,Text_Anxiety,0.7260034
1,conditioning_on_all.jsonl,Text_Numeracy,0.834728
1,conditioning_on_all.jsonl,Text_TrustPhys,0.8911921
1,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.84905124
1,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.73619485
1,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.85525876
1,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.8710412
1,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.85745645
