,Sample Index,Condition,Text_SubjectiveLit POSEMO Generated,Text_SubjectiveLit POSEMO True,Text_SubjectiveLit NEGEMO Generated,Text_SubjectiveLit NEGEMO True,Text_SubjectiveLit ANX Generated,Text_SubjectiveLit ANX True,Text_SubjectiveLit ANGER Generated,Text_SubjectiveLit ANGER True,Text_SubjectiveLit SAD Generated,Text_SubjectiveLit SAD True,Text_SubjectiveLit SEE Generated,Text_SubjectiveLit SEE True,Text_SubjectiveLit HEAR Generated,Text_SubjectiveLit HEAR True,Text_SubjectiveLit FEEL Generated,Text_SubjectiveLit FEEL True,Text_SubjectiveLit COGMECH Generated,Text_SubjectiveLit COGMECH True,Text_SubjectiveLit INSIGHT Generated,Text_SubjectiveLit INSIGHT True,Text_SubjectiveLit CAUSE Generated,Text_SubjectiveLit CAUSE True,Text_SubjectiveLit SOCIAL Generated,Text_SubjectiveLit SOCIAL True,Text_SubjectiveLit FAMILY Generated,Text_SubjectiveLit FAMILY True,Text_SubjectiveLit FRIENDS Generated,Text_SubjectiveLit FRIENDS True,Text_SubjectiveLit BIO Generated,Text_SubjectiveLit BIO True,Text_SubjectiveLit BODY Generated,Text_SubjectiveLit BODY True,Text_SubjectiveLit HEALTH Generated,Text_SubjectiveLit HEALTH True,Text_SubjectiveLit SEXUAL Generated,Text_SubjectiveLit SEXUAL True,Text_SubjectiveLit INGEST Generated,Text_SubjectiveLit INGEST True,Text_Anxiety POSEMO Generated,Text_Anxiety POSEMO True,Text_Anxiety NEGEMO Generated,Text_Anxiety NEGEMO True,Text_Anxiety ANX Generated,Text_Anxiety ANX True,Text_Anxiety ANGER Generated,Text_Anxiety ANGER True,Text_Anxiety SAD Generated,Text_Anxiety SAD True,Text_Anxiety SEE Generated,Text_Anxiety SEE True,Text_Anxiety HEAR Generated,Text_Anxiety HEAR True,Text_Anxiety FEEL Generated,Text_Anxiety FEEL True,Text_Anxiety COGMECH Generated,Text_Anxiety COGMECH True,Text_Anxiety INSIGHT Generated,Text_Anxiety INSIGHT True,Text_Anxiety CAUSE Generated,Text_Anxiety CAUSE True,Text_Anxiety SOCIAL Generated,Text_Anxiety SOCIAL True,Text_Anxiety FAMILY Generated,Text_Anxiety FAMILY True,Text_Anxiety FRIENDS Generated,Text_Anxiety FRIENDS True,Text_Anxiety BIO Generated,Text_Anxiety BIO True,Text_Anxiety BODY Generated,Text_Anxiety BODY True,Text_Anxiety HEALTH Generated,Text_Anxiety HEALTH True,Text_Anxiety SEXUAL Generated,Text_Anxiety SEXUAL True,Text_Anxiety INGEST Generated,Text_Anxiety INGEST True,Text_Numeracy POSEMO Generated,Text_Numeracy POSEMO True,Text_Numeracy NEGEMO Generated,Text_Numeracy NEGEMO True,Text_Numeracy ANX Generated,Text_Numeracy ANX True,Text_Numeracy ANGER Generated,Text_Numeracy ANGER True,Text_Numeracy SAD Generated,Text_Numeracy SAD True,Text_Numeracy SEE Generated,Text_Numeracy SEE True,Text_Numeracy HEAR Generated,Text_Numeracy HEAR True,Text_Numeracy FEEL Generated,Text_Numeracy FEEL True,Text_Numeracy COGMECH Generated,Text_Numeracy COGMECH True,Text_Numeracy INSIGHT Generated,Text_Numeracy INSIGHT True,Text_Numeracy CAUSE Generated,Text_Numeracy CAUSE True,Text_Numeracy SOCIAL Generated,Text_Numeracy SOCIAL True,Text_Numeracy FAMILY Generated,Text_Numeracy FAMILY True,Text_Numeracy FRIENDS Generated,Text_Numeracy FRIENDS True,Text_Numeracy BIO Generated,Text_Numeracy BIO True,Text_Numeracy BODY Generated,Text_Numeracy BODY True,Text_Numeracy HEALTH Generated,Text_Numeracy HEALTH True,Text_Numeracy SEXUAL Generated,Text_Numeracy SEXUAL True,Text_Numeracy INGEST Generated,Text_Numeracy INGEST True,Text_TrustPhys POSEMO Generated,Text_TrustPhys POSEMO True,Text_TrustPhys NEGEMO Generated,Text_TrustPhys NEGEMO True,Text_TrustPhys ANX Generated,Text_TrustPhys ANX True,Text_TrustPhys ANGER Generated,Text_TrustPhys ANGER True,Text_TrustPhys SAD Generated,Text_TrustPhys SAD True,Text_TrustPhys SEE Generated,Text_TrustPhys SEE True,Text_TrustPhys HEAR Generated,Text_TrustPhys HEAR True,Text_TrustPhys FEEL Generated,Text_TrustPhys FEEL True,Text_TrustPhys COGMECH Generated,Text_TrustPhys COGMECH True,Text_TrustPhys INSIGHT Generated,Text_TrustPhys INSIGHT True,Text_TrustPhys CAUSE Generated,Text_TrustPhys CAUSE True,Text_TrustPhys SOCIAL Generated,Text_TrustPhys SOCIAL True,Text_TrustPhys FAMILY Generated,Text_TrustPhys FAMILY True,Text_TrustPhys FRIENDS Generated,Text_TrustPhys FRIENDS True,Text_TrustPhys BIO Generated,Text_TrustPhys BIO True,Text_TrustPhys BODY Generated,Text_TrustPhys BODY True,Text_TrustPhys HEALTH Generated,Text_TrustPhys HEALTH True,Text_TrustPhys SEXUAL Generated,Text_TrustPhys SEXUAL True,Text_TrustPhys INGEST Generated,Text_TrustPhys INGEST True
0,0,all_4.jsonl,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,6,2,4,1,11,5,2,1,0,0,7,1,0,0,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5,2,0,0,0,7,5,0,1,0,0,2,1,0,0,2,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,13,7,2,0,3,0,9,8,1,0,0,0,6,0,2,0,4,0,0,0,2,0,3,2,1,0,0,0,1,0,0,0,1,0,0,0,2,2,18,10,3,2,1,1,9,9,5,1,0,0,2,0,0,0,1,0,1,0,0,0
1,0,conditioning_on_all.jsonl,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,6,2,1,1,10,5,1,1,0,0,4,1,0,0,4,1,0,0,0,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,16,5,4,0,1,0,7,5,1,1,0,0,6,1,1,0,3,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,18,7,4,0,2,0,11,8,2,0,0,0,7,0,1,0,3,0,3,0,2,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,20,10,4,2,3,1,9,9,3,1,0,0,4,0,0,0,1,0,3,0,0,0
2,0,holdout_Text_Anxiety.jsonl,3,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,22,7,5,2,5,1,11,5,1,1,0,0,9,1,1,0,5,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,14,5,3,0,1,0,5,5,3,1,0,0,2,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,7,3,0,1,0,14,8,2,0,0,0,3,0,1,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,10,4,2,2,1,6,9,4,1,0,0,2,0,0,0,0,0,2,0,0,0
3,0,holdout_Text_Numeracy.jsonl,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,7,4,2,3,1,10,5,2,1,0,0,7,1,2,0,4,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,7,5,1,0,0,0,3,5,0,1,0,0,2,1,0,0,2,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,1,0,3,0,0,1,14,7,1,0,2,0,12,8,2,0,0,0,6,0,3,0,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,17,10,3,2,1,1,11,9,2,1,0,0,4,0,0,0,2,0,2,0,0,0
4,0,holdout_Text_SubjectiveLit.jsonl,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,7,8,2,3,1,8,5,1,1,0,0,5,1,1,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,5,2,0,1,0,7,5,2,1,0,0,3,1,0,0,2,1,1,0,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,16,7,2,0,3,0,13,8,2,0,0,0,5,0,0,0,5,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,14,10,3,2,1,1,5,9,2,1,0,0,1,0,0,0,1,0,0,0,0,0
5,0,holdout_Text_TrustPhys.jsonl,3,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,21,7,7,2,4,1,13,5,5,1,0,0,5,1,0,0,5,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,16,5,4,0,1,0,5,5,1,1,0,0,4,1,0,0,1,1,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,20,7,2,0,2,0,15,8,2,0,0,0,5,0,2,0,4,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,1,0,1,2,15,10,2,2,3,1,10,9,3,1,0,0,1,0,0,0,0,0,1,0,0,0
6,0,Baseline Zero Shot,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,7,8,2,1,1,14,5,2,1,0,0,3,1,0,0,3,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,1,0,2,0,12,5,3,0,4,0,9,5,2,1,0,0,2,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,7,3,0,0,0,8,8,3,0,0,0,4,0,1,0,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,20,10,4,2,3,1,12,9,3,1,0,0,1,0,0,0,0,0,1,0,0,0
7,0,no_system_prompt.jsonl,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,7,4,2,2,1,12,5,2,1,0,0,5,1,0,0,5,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,10,5,2,0,0,0,3,5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,10,7,2,0,1,0,10,8,2,0,0,0,6,0,1,0,5,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,4,2,12,10,3,2,2,1,6,9,3,1,0,0,2,0,1,0,0,0,1,0,0,0
8,1,all_4.jsonl,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,16,12,6,2,1,3,5,2,0,0,0,0,3,4,0,1,2,0,1,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,17,0,2,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,3,3,1,0,0,12,0,2,0,0,0,4,0,2,0,2,0,0,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,1,3,4,19,13,5,2,1,1,9,9,3,2,0,0,2,2,0,1,1,1,1,0,0,0
9,1,conditioning_on_all.jsonl,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,18,12,3,2,2,3,8,2,2,0,0,0,5,4,0,1,3,0,1,4,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,4,0,17,3,1,1,5,0,13,0,5,0,0,0,9,0,3,0,3,0,0,0,3,0,6,5,0,2,0,0,0,0,0,0,0,0,0,1,5,4,22,13,5,2,3,1,10,9,3,2,0,0,5,2,2,1,3,1,0,0,0,0
