Sample Index,Condition,FIPI_1 Generated,FIPI_1 True,FIPI_2 Generated,FIPI_2 True,FIPI_3 Generated,FIPI_3 True,FIPI_4 Generated,FIPI_4 True,FIPI_5 Generated,FIPI_5 True
0,all_4.jsonl,5,2.0,6,4.0,5,6.0,4,4.0,5,4.0
0,conditioning_on_all.jsonl,4,2.0,5,4.0,5,6.0,4,4.0,3,4.0
0,holdout_Text_Anxiety.jsonl,5,2.0,6,4.0,5,6.0,4,4.0,5,4.0
0,holdout_Text_Numeracy.jsonl,5,2.0,6,4.0,5,6.0,4,4.0,5,4.0
0,holdout_Text_SubjectiveLit.jsonl,5,2.0,6,4.0,5,6.0,4,4.0,5,4.0
0,holdout_Text_TrustPhys.jsonl,4,2.0,5,4.0,5,6.0,4,4.0,3,4.0
0,Baseline Zero Shot,5,2.0,6,4.0,4,6.0,3,4.0,5,4.0
0,no_system_prompt.jsonl,"It seems like you might be referencing something specific with ""FIPI_1,"" but I'm not sure what it is. Could you clarify or provide more details about what you mean by ""FIPI_1""? Then I can try to help you better.",2.0,"It seems like you're referencing terms or codes that I'm not familiar with. If ""FIPI_1"" or ""FIPI_2"" are related to something specific in your life or treatment, could you provide more context? That way, I can better understand how it relates to what you're experiencing or discussing with me. If these are personal terms or part of a specific program, sharing a bit more about what they mean to you or how they relate to your current situation might be helpful.",4.0,"It seems you're continuing with a series of references or codes that I'm not familiar with. Could you let me know what these terms mean to you or how they're relevant to our conversation? Your clarification will help me understand how they fit into your current situation or needs, and I can better assist you with any questions or concerns you have.",6.0,"It appears you are mentioning a series of codes, but without additional context, I'm not sure how they pertain to your current situation. If these codes have a specific meaning or significance in your life or treatment, please share more information. I'm here to help, and any details on how these codes relate to your thoughts, experiences, or feelings would be useful.",4.0,"It seems like you're repeatedly mentioning ""FIPI"" followed by different numbers, but without further context, I'm not sure what these mean. If this is something specific you're dealing with or thinking about, please feel free to explain further. Whether it's related to a treatment plan, a personal project, or something else, understanding its significance to you will help me provide better support or guidance.",4.0
1,all_4.jsonl,4,6.0,5,7.0,5,7.0,4,5.0,5,6.0
1,conditioning_on_all.jsonl,4,6.0,5,7.0,5,7.0,4,5.0,5,6.0
1,holdout_Text_Anxiety.jsonl,4,6.0,5,7.0,4,7.0,4,5.0,5,6.0
1,holdout_Text_Numeracy.jsonl,5,6.0,6,7.0,4,7.0,3,5.0,5,6.0
1,holdout_Text_SubjectiveLit.jsonl,4,6.0,6,7.0,5,7.0,4,5.0,5,6.0
